unique_id,health_zone,health_area,date,key_quote,sample_comments,type,category,code,sample_comments_fr,type_fr,category_fr,code_fr,n
9,Beni,Kasabinyole,21-08-2018,,the government's goal is to interrupt the elections because of the epidemic,Rumors_beliefs_observations,Ebola_is_a_scheme_of_government_or_others,Ebola is a political tool,le gouvernement vise à interrompre les elections à cause de cette épidemie,Rumeur_croyance_observation,Ebola_est_un_complot_du_gouvernement_ou_des_autres,Ebola est un outil politique,1
10,Beni,Kasabinyole,21-08-2018,,the people demand the vaccine for all people,Suggestion_request,Expand_or_modify_vaccination_prog.,Expand or modify vaccination program,les habitantes reclament la vaccination pour toute les personnes,Suggestion_demande,Elargir_ou_modifer_le_programme_de_vaccination,Élargir ou modifer le programme de vaccination,1
11,Beni,Kasabinyole,21-08-2018,,leave these posters and pamphlets for greater diffusion,Suggestion_request,Community_health_promotion,Distribute educational materials,laisser les affiches et dépliants pour permettre une large diffusion,Suggestion_demande,Sensibilisation_sur_Ebola,Distribuer des documents educatifs,1
12,Beni,Kasabinyole,21-08-2018,,"in strategic places, have containers to wash hands",Suggestion_request,Encourage_hand_washing,"Provide handwashing station (with water, soap)","dans les lieux stratégiques, les vases pour se laver les mains",Suggestion_demande,Encourager_le_lavage_des_mains,"Fournir dispositif lavemain (avec l'eau, savon)",1
13,Beni,Kasabinyole,21-08-2018,,"when a baby has this illness, how can she be protected?",Question,Ebola_protective_behaviors,EVD protective behaviors,"quand un bébé est atteint par cette maladie, comment elle peut être protéger?",Question,Comportements_pour_la_prévention_d'Ebola,Comportements pour la prévention d'Ebola,1
14,Beni,Kasabinyole,21-08-2018,,is Transmission.Transmission during the incubation period possible?,Question,Transmission,EVD transmission,la Transmission.Transmission pendant la période d'incubation peut -elle être possible?,Question,Transmission,Transmission du virus Ebola,1
15,Beni,Kasabinyole,21-08-2018,,how can businesspeople and all workers with money protect themselves? (people getting Ebola from touching money),Question,Ebola_protective_behaviors,EVD protective behaviors,comment les commerçants et toutes personnes travaillants avec l'argent peut se protéger?,Question,Comportements_pour_la_prévention_d'Ebola,Comportements pour la prévention d'Ebola,1
16,Beni,Kasabinyole,21-08-2018,,"it's worth it to prevent rather than heal, why is the vaccine only available for one category of person?",Question,Vaccine,Unfair vaccine distribution,mieux vaut prevenir que guérir pourquoi le vaccin est seulement disponible pour une catégorie de personne,Question,Vaccin,Distribution inéquitable du vaccin,1
17,Beni,Kasabinyole,21-08-2018,,it's politics,Rumors_beliefs_observations,Ebola_is_a_scheme_of_government_or_others,Ebola is a political tool,c'est la politique,Rumeur_croyance_observation,Ebola_est_un_complot_du_gouvernement_ou_des_autres,Ebola est un outil politique,1
18,Beni,Kasabinyole,21-08-2018,,they are conflicts,Rumors_beliefs_observations,Ebola_is_a_scheme_of_government_or_others,Harming people (politics),ce sont des conflits,Rumeur_croyance_observation,Ebola_est_un_complot_du_gouvernement_ou_des_autres,Nuire aux gens (la politique),1
19,Beni,Kasabinyole,21-08-2018,,many NGOs received funding,Rumors_beliefs_observations,Critics_or_observation_of_the_response,Comment about responders (others),il y a beaucoup d'ONG qui ont eu des financements,Rumeur_croyance_observation,Critiques_et_observations_de_la_riposte,Commentaire à propos du personnel de la riposte (autres),1
19,Beni,Kasabinyole,21-08-2018,,many NGOs received funding,Rumors_beliefs_observations,Ebola_is_organized_business,Ebola is organized business (or someone making money),il y a beaucoup d'ONG qui ont eu des financements,Rumeur_croyance_observation,Ebola_est_business_organisé,Ebola est business organisé (ou quelqu'un gagne de l'argent),1
20,Beni,Kasabinyole,21-08-2018,1,NGOs created the virus,Rumors_beliefs_observations,Critics_or_observation_of_the_response,Comment about responders (others),ce sont les ONG qui ont créé ce virus,Rumeur_croyance_observation,Critiques_et_observations_de_la_riposte,Commentaire à propos du personnel de la riposte (autres),1
20,Beni,Kasabinyole,21-08-2018,,NGOs created the virus,Rumors_beliefs_observations,Ebola_is_a_scheme_of_government_or_others,Ebola is a scheme of foreigners or others,ce sont les ONG qui ont créé ce virus,Rumeur_croyance_observation,Ebola_est_un_complot_du_gouvernement_ou_des_autres,Ebola est un complot des étrangers ou autres,1
21,Beni,Kasabinyole,21-08-2018,,people created to virus to gain money,Rumors_beliefs_observations,Ebola_is_organized_business,Ebola is organized business (or someone making money),ce sont des personnes qui ont créé ce virus pour qu'ils aient l'argent,Rumeur_croyance_observation,Ebola_est_business_organisé,Ebola est business organisé (ou quelqu'un gagne de l'argent),1
22,Beni,Kasabinyole,21-08-2018,,throw teargas bombs in nature to eliminate the virus,Suggestion_request,Other_suggestions_or_requests,Other suggestions,jeter des bombes lacrimogène dans la nature pour eliminer ce virus,Suggestion_demande,Autres_suggestions_ou_demandes,Autres suggestions,1
23,Beni,Kasabinyole,21-08-2018,,will you vaccinate us or not?,Question,Vaccine,Unfair vaccine distribution,On va nous vacciner ou pas?,Question,Vaccin,Distribution inéquitable du vaccin,1
24,Beni,Kasabinyole,21-08-2018,,"I suffer from malaria, is that Ebola or not?",Question,So_much_focus_on_Ebola,EVD vs other diseases,"si je souffre de malaria, c'est la maladie Ebola ou pas?",Question,Tellement_d'attention_sur_Ebola,L'Ebola contre d'autres maladies,1
25,Beni,Kasabinyole,21-08-2018,,why don't they want to vaccinate everyone?,Question,Vaccine,Unfair vaccine distribution,pourquoi on ne veut pas vacciner tout le monde?,Question,Vaccin,Distribution inéquitable du vaccin,1
26,Beni,Kasabinyole,21-08-2018,1,are the vaccines expensive?,Question,Vaccine,Other vaccine questions,les vaccins sont-ils chers?,Question,Vaccin,Autres questions sur le vaccin,1
27,Beni,Kasabinyole,21-08-2018,,why is there more done to fight ebola virus disease than the massacres?,Question,So_much_focus_on_Ebola,EVD vs other problems,pourquoi on fait tous les moyens pour combattre la maladie ebola plus que les massacres?,Question,Tellement_d'attention_sur_Ebola,L'Ebola contre d'autres problèmes,1
28,Beni,Kasabinyole,21-08-2018,1,why don't they put up posters everywhere?,Question,Response_processes,Response processes,pourquoi on ne veut pas afficher les affiches partout?,Question,Processus_de_riposte,Processus de riposte,1
29,Beni,Kanzulinzuli,21-08-2018,,witchcraft,Rumors_beliefs_observations,Ebola_causes,Supernatural cause,sorcelerie,Rumeur_croyance_observation,Origine_d_Ebola,Origine supernaturelle,1
30,Beni,Kanzulinzuli,21-08-2018,,the disease is caused by our President,Rumors_beliefs_observations,Ebola_is_a_scheme_of_government_or_others,Ebola is a political tool,la maladie est causée par notre Président,Rumeur_croyance_observation,Ebola_est_un_complot_du_gouvernement_ou_des_autres,Ebola est un outil politique,1
31,Beni,Kanzulinzuli,21-08-2018,1,sick people at the hospital are neglected,Rumors_beliefs_observations,Critics_or_observations_of_health_system,Lack of confidence in medical services (includes harming people),la negligeance des malades à l'hopital,Rumeur_croyance_observation,Critiques_ou_observations_du_système_de_santé,Manque de confiance: services medicaux (faire du mal aux gens inclu),1
32,Beni,Mabolio,21-08-2018,,witchcraft,Rumors_beliefs_observations,Ebola_causes,Supernatural cause,Sorcelerie,Rumeur_croyance_observation,Origine_d_Ebola,Origine supernaturelle,1
33,Beni,Mabolio,21-08-2018,,electoral sacrifice,Rumors_beliefs_observations,Ebola_is_a_scheme_of_government_or_others,Harming people (politics),sacrifice électoral,Rumeur_croyance_observation,Ebola_est_un_complot_du_gouvernement_ou_des_autres,Nuire aux gens (la politique),1
34,Beni,Mabolio,21-08-2018,,a disease like any other,Rumors_beliefs_observations,Other_rumors_beliefs_observations,"Other rumour, belief, observation",maladie comme les autres,Rumeur_croyance_observation,Autres_rumeurs_croyances_observations,"Autre rumeur, croyance, observation",1
35,Beni,Mabolio,21-08-2018,,a tragedy,Rumors_beliefs_observations,Other_rumors_beliefs_observations,"Other rumour, belief, observation",tragedie,Rumeur_croyance_observation,Autres_rumeurs_croyances_observations,"Autre rumeur, croyance, observation",1
36,Beni,Mabolio,21-08-2018,,everyone who goes to the hospital dies,Rumors_beliefs_observations,Critics_or_observations_of_health_system,Lack of confidence in medical services (includes harming people),tout le monde qui part à l'hopital meurt,Rumeur_croyance_observation,Critiques_ou_observations_du_système_de_santé,Manque de confiance: services medicaux (faire du mal aux gens inclu),1
36,Beni,Mabolio,21-08-2018,,everyone who goes to the hospital dies,Rumors_beliefs_observations,Ebola_has_no_cure_always_results_in_death,"Ebola has no cure, always results in death",tout le monde qui part à l'hopital meurt,Rumeur_croyance_observation,Ebola_ne_se_guérit_pas_entraine_toujours_la_mort,Ebola ne se guérit pas/entraîne toujours la mort,1
37,Beni,Mabolio,21-08-2018,,everyone vaccinated,Suggestion_request,Expand_or_modify_vaccination_prog.,Expand or modify vaccination program,vaccination de tout le monde,Suggestion_demande,Elargir_ou_modifer_le_programme_de_vaccination,Élargir ou modifer le programme de vaccination,1
38,Beni,Mabolio,21-08-2018,,PPE/protective clothing for everyone,Suggestion_request,Need_for_other_materials,Provide protective clothing,habit de protection pour le monde,Suggestion_demande,Besoin_d’autres_matériaux,Donner des habits protectifs,1
39,Beni,Mabolio,21-08-2018,,why haven't we yet found a person cured from Ebola since their intervention?,Question,Ebola_and_its_consequences,EVD cases and outcomes,pourquoi nous n'avons pas encore trouvé de personne guerie d'Ebola depuis leur intervention,Question,Ebola_et_ses_conséquences,Cas du virus Ebola et résultat,1
40,Beni,Mabolio,21-08-2018,,why should we not touch even the clothes that they wore before they were sick?,Question,Ebola_protective_behaviors,EVD protective behaviors,pourquoi ne pas toucher même les habits qu'il utilisait avant qu'il soit malade,Question,Comportements_pour_la_prévention_d'Ebola,Comportements pour la prévention d'Ebola,1
41,Beni,Kasanga,21-08-2018,,people keep doubting the disease,Rumors_beliefs_observations,Ebola_does_not_exist,Ebola does not exist,les gens continue de douter de la maladie,Rumeur_croyance_observation,Ebola_n'existe_pas,Ebola n'existe pas,1
42,Beni,Kasanga,21-08-2018,,the sick are neglected,Rumors_beliefs_observations,Critics_or_observations_of_health_system,Lack of confidence in medical services (includes harming people),les malades sont délaissé,Rumeur_croyance_observation,Critiques_ou_observations_du_système_de_santé,Manque de confiance: services medicaux (faire du mal aux gens inclu),1
43,Beni,Kasanga,21-08-2018,1,there needs to be a special lab for the sick who have symptoms,Suggestion_request,Improve_health_care,Testing for symptomatic people,il faut qu'il y est un labo spécialement pour ces malades qui présentent les signes,Suggestion_demande,Améliorer_les_soins_de_santé,Test des gens symptomatiques,1
44,Beni,Kasanga,21-08-2018,,everyone who goes to the hospital are accused of having Ebola,Rumors_beliefs_observations,Other_rumors_beliefs_observations,Exaggerated threat of Ebola,tous les malades qui se présentent à l'hopital sont accusés d'Ebola,Rumeur_croyance_observation,Autres_rumeurs_croyances_observations,Menace exagérée du virus Ebola,1
45,Beni,Kasanga,21-08-2018,,can't this disease cause abortions in women?,Question,Ebola_and_its_consequences,EVD cases and outcomes,est ce que cette maladie ne peut pas causer des avortements chez une femme?,Question,Ebola_et_ses_conséquences,Cas du virus Ebola et résultat,1
46,Beni,Kasanga,21-08-2018,,are there any sick who were healed?,Question,Ebola_and_its_consequences,EVD cases and outcomes,y'a-t-il des malkades gueris?,Question,Ebola_et_ses_conséquences,Cas du virus Ebola et résultat,1
47,Beni,Kasanga,21-08-2018,,is it true that there are tablets to prevent this disease?,Question,Ebola_protective_behaviors,EVD protective behaviors,est-il vrai qu'il y a des comprimés pour prevenir cette maladie?,Question,Comportements_pour_la_prévention_d'Ebola,Comportements pour la prévention d'Ebola,1
48,Beni,Mukulya,21-08-2018,,some say that it is witchcraft,Rumors_beliefs_observations,Ebola_causes,Supernatural cause,les uns disent que c'est une sorcelerie?,Rumeur_croyance_observation,Origine_d_Ebola,Origine supernaturelle,1
49,Beni,Mukulya,21-08-2018,,people want to spread the disease to gain money,Rumors_beliefs_observations,Ebola_is_organized_business,Ebola is organized business (or someone making money),les gens veulent propoger la maladie pour avoir de l'argent,Rumeur_croyance_observation,Ebola_est_business_organisé,Ebola est business organisé (ou quelqu'un gagne de l'argent),1
49,Beni,Mukulya,21-08-2018,,people want to spread the disease to gain money,Rumors_beliefs_observations,Ebola_is_a_scheme_of_government_or_others,People spreading Ebola,les gens veulent propoger la maladie pour avoir de l'argent,Rumeur_croyance_observation,Ebola_est_un_complot_du_gouvernement_ou_des_autres,Contamination provoquée,1
50,Beni,Mukulya,21-08-2018,,everyone receive the vaccine,Suggestion_request,Expand_or_modify_vaccination_prog.,Expand or modify vaccination program,que tout le monde recoive le vaccin?,Suggestion_demande,Elargir_ou_modifer_le_programme_de_vaccination,Élargir ou modifer le programme de vaccination,1
51,Beni,Mukulya,21-08-2018,,is there an appropriate medication?,Question,Diagnosis_treatment_and_ETC,"Diagnosis, treatment, ETC",y a-t'il un médicament aproprié?,Question,Diagnostique_traitement_et_CTE,"Diagnostique, traitement, CTE",1
52,Beni,Mukulya,21-08-2018,,"if a sick person vomits on you, what do you do?",Question,Ebola_protective_behaviors,EVD protective behaviors,si par hasard le malade a vomi sur vous que faire?,Question,Comportements_pour_la_prévention_d'Ebola,Comportements pour la prévention d'Ebola,1
53,Beni,Mukulya,21-08-2018,,how do you protect your child who does not understand?,Question,Ebola_protective_behaviors,EVD protective behaviors,comment proteger son enfant qui ne comprend pas?,Question,Comportements_pour_la_prévention_d'Ebola,Comportements pour la prévention d'Ebola,1
54,Beni,Mukulya,21-08-2018,,the ambulance number should be published,Suggestion_request,Response_process_suggestions,Transportation issues,il faut publier le numéro de l'ambulance?,Suggestion_demande,Processus_de_riposte_suggestions,Problèmes de transport,1
55,Beni,Mabolio,21-08-2018,,it's witchcraft,Rumors_beliefs_observations,Ebola_causes,Supernatural cause,c'est une sorcelerie,Rumeur_croyance_observation,Origine_d_Ebola,Origine supernaturelle,1
56,Beni,Mabolio,21-08-2018,,it's business policy,Rumors_beliefs_observations,Ebola_is_organized_business,Ebola is organized business (or someone making money),politique de commerce,Rumeur_croyance_observation,Ebola_est_business_organisé,Ebola est business organisé (ou quelqu'un gagne de l'argent),1
57,Beni,Mabolio,21-08-2018,,free medications are the cause of contamination,Rumors_beliefs_observations,Critics_or_observations_of_health_system,Lack of confidence in medical services (includes harming people),la gratuite des médicaments est à la base de la contamination,Rumeur_croyance_observation,Critiques_ou_observations_du_système_de_santé,Manque de confiance: services medicaux (faire du mal aux gens inclu),1
58,Beni,Mabolio,21-08-2018,,the disease does not exist,Rumors_beliefs_observations,Ebola_does_not_exist,Ebola does not exist,la maladie n'existe pas,Rumeur_croyance_observation,Ebola_n'existe_pas,Ebola n'existe pas,1
59,Beni,Mabolio,21-08-2018,,why doesn't the vaccine get through to everyone?,Question,Vaccine,Unfair vaccine distribution,pourquoi la vaccination ne parvient pas à tout le monde,Question,Vaccin,Distribution inéquitable du vaccin,1
60,Beni,Mukulya,21-08-2018,,it's witchcraft given that Mangina the city is famous in that field,Rumors_beliefs_observations,Ebola_causes,Supernatural cause,c'est la sorcelerie vu que la cité de Mangina est reputé dans le domaine,Rumeur_croyance_observation,Origine_d_Ebola,Origine supernaturelle,1
61,Beni,Mukulya,21-08-2018,1,the wide spread of the disease can cause other cardiac illnesses,Rumors_beliefs_observations,Ebola_characteristics_and_consequences,Outcomes of Ebola outbreak,la diffusion exagérée de la maladie peut entrainer d'autres maladie cardiaque,Rumeur_croyance_observation,Ebola_caracteristiques_et_consequences,Conséquences de l'épidémie du virus Ebola,1
62,Beni,Mukulya,21-08-2018,,"to succeed in fighting the disease, everyone must be vaccinated",Suggestion_request,Expand_or_modify_vaccination_prog.,Expand or modify vaccination program,"pour réussir à combattre la maladie, il faut vacciner tout le monde",Suggestion_demande,Elargir_ou_modifer_le_programme_de_vaccination,Élargir ou modifer le programme de vaccination,1
63,Beni,Mukulya,21-08-2018,1,we need sinks/washbasins for each household and informative signs on the symptoms and the prevention methods,Suggestion_request,Encourage_hand_washing,"Provide handwashing station (with water, soap)",il faut des lavabo pour chaque ménage et les planches expliquant sur les signes et modes de prévention,Suggestion_demande,Encourager_le_lavage_des_mains,"Fournir dispositif lavemain (avec l'eau, savon)",1
63,Beni,Mukulya,21-08-2018,,we need sinks/washbasins for each household and informative signs on the symptoms and the prevention methods,Suggestion_request,Community_health_promotion,Community health promotion,il faut des lavabo pour chaque ménage et les planches expliquant sur les signes et modes de prévention,Suggestion_demande,Sensibilisation_sur_Ebola,Sensibilisation sur Ebola,1
64,Beni,Mukulya,21-08-2018,,what is the origin of the Ebola virus disease?,Question,Ebola_and_its_consequences,EVD origin,quelle est l'origne de la maladie à Ebola,Question,Ebola_et_ses_conséquences,Origine du virus Ebola,1
65,Beni,Mukulya,21-08-2018,,"do the hunters need to stop their activity, or not?",Question,Other_questions,Animal-related questions,pour les chasseurs il faut laisser l'activité ou pas?,Question,Autres_questions,Question liée aux animaux,1
66,Beni,Mukulya,21-08-2018,,are all the animals in the forest infected?,Question,Other_questions,Animal-related questions,est ce que tous les animaux de la forêt sont infecté?,Question,Autres_questions,Question liée aux animaux,1
66,Beni,Mukulya,21-08-2018,1,are all the animals in the forest infected?,Question,Transmission,EVD transmission,est ce que tous les animaux de la forêt sont infecté?,Question,Transmission,Transmission du virus Ebola,1
67,Beni,Mukulya,21-08-2018,,"does the vaccine affect only the authorities, the rich and the caregivers?",Question,Vaccine,Vaccine effectiveness,"Est-ce que le vaccin concerne seulement les autorités, les riches et le personnel soignant?",Question,Vaccin,Efficacité du vaccin,1
126,Beni,Bundji,21-08-2018,,"you doctors, you make money off the backs of the people",Rumors_beliefs_observations,Ebola_is_organized_business,Ebola is organized business (or someone making money),Vous medecins vous percevez de l'argent au dos de la population,Rumeur_croyance_observation,Ebola_est_business_organisé,Ebola est business organisé (ou quelqu'un gagne de l'argent),1
127,Beni,Bundji,21-08-2018,1,"Ebola does not exist, it's witchcraft",Rumors_beliefs_observations,Ebola_does_not_exist,Ebola does not exist,Ebola n'existe pas c'est de la sorcelerie,Rumeur_croyance_observation,Ebola_n'existe_pas,Ebola n'existe pas,1
127,Beni,Bundji,21-08-2018,,"Ebola does not exist, it's witchcraft",Rumors_beliefs_observations,Ebola_causes,Supernatural cause,Ebola n'existe pas c'est de la sorcelerie,Rumeur_croyance_observation,Origine_d_Ebola,Origine supernaturelle,1
128,Beni,Bundji,21-08-2018,,is it true that a medication exists? Is it true that sick people get better?,Question,Diagnosis_treatment_and_ETC,"Diagnosis, treatment, ETC",C'est vrai que le medicament existe? Est c'est vrai que les malades guerissent?,Question,Diagnostique_traitement_et_CTE,"Diagnostique, traitement, CTE",1
128,Beni,Bundji,21-08-2018,,is it true that a medication exists? Is it true that sick people get better?,Question,Ebola_and_its_consequences,EVD cases and outcomes,C'est vrai que le medicament existe? Est c'est vrai que les malades guerissent?,Question,Ebola_et_ses_conséquences,Cas du virus Ebola et résultat,1
165,Beni,Ngongolio,21-08-2018,,it's allowing the military from equator towards Beni,Rumors_beliefs_observations,Ebola_is_a_scheme_of_government_or_others,Harming people (politics),cest la permitation des militaires de l'equateur vers Beni,Rumeur_croyance_observation,Ebola_est_un_complot_du_gouvernement_ou_des_autres,Nuire aux gens (la politique),1
166,Beni,Ngongolio,21-08-2018,,the people stole a cat,Rumors_beliefs_observations,Ebola_causes,Supernatural cause,Les gens ont volé le chat,Rumeur_croyance_observation,Origine_d_Ebola,Origine supernaturelle,1
167,Beni,Ngongolio,21-08-2018,,it's witchcraft,Rumors_beliefs_observations,Ebola_causes,Supernatural cause,cest la sorcelerie,Rumeur_croyance_observation,Origine_d_Ebola,Origine supernaturelle,1
168,Beni,Ngongolio,21-08-2018,,it's the demons,Rumors_beliefs_observations,Ebola_causes,Supernatural cause,c'est les demons,Rumeur_croyance_observation,Origine_d_Ebola,Origine supernaturelle,1
169,Beni,Ngongolio,21-08-2018,,politicians are killing people so we don't go to the elections,Rumors_beliefs_observations,Ebola_is_a_scheme_of_government_or_others,Ebola is a political tool,ce sont les politiciens qui tuent le gens pour que nous n'allions pas aux elections,Rumeur_croyance_observation,Ebola_est_un_complot_du_gouvernement_ou_des_autres,Ebola est un outil politique,1
169,Beni,Ngongolio,21-08-2018,,politicians are killing people so we don't go to the elections,Rumors_beliefs_observations,Ebola_is_a_scheme_of_government_or_others,Harming people (politics),ce sont les politiciens qui tuent le gens pour que nous n'allions pas aux elections,Rumeur_croyance_observation,Ebola_est_un_complot_du_gouvernement_ou_des_autres,Nuire aux gens (la politique),1
170,Beni,Ngongolio,21-08-2018,1,Continue health promotion until the end of Ebola,Suggestion_request,Community_health_promotion,Community health promotion,Continuer la sensibilisation jusqu'à la fin de ebola,Suggestion_demande,Sensibilisation_sur_Ebola,Sensibilisation sur Ebola,1
171,Beni,Ngongolio,21-08-2018,1,the vaccine is not free and it is not for everyone,Rumors_beliefs_observations,Vaccine_suspicions_and_non-acceptance,Unfair vaccine distribution,Le vaccin est payable et est limité pas pour tout le monde,Rumeur_croyance_observation,Suspicions_a_propos_de_la_vaccin_et_non_acceptation,Distribution injuste du vaccin,1
172,Beni,Ngongolio,21-08-2018,1,"the government should be flexible, people are dying",Suggestion_request,Response_process_suggestions,Call for flexible efficient action of response personnel,Que le gouvernement soit souple car les gens sont entrain de mourir,Suggestion_demande,Processus_de_riposte_suggestions,Appel à une action efficace et souple du personnel de la riposte,1
173,Beni,Ngongolio,21-08-2018,,the government should provide the vaccine and transport,Suggestion_request,Expand_or_modify_vaccination_prog.,Expand or modify vaccination program,Que le gouvernement fournisse les efforts pour le vaccin et le moyen de transport,Suggestion_demande,Elargir_ou_modifer_le_programme_de_vaccination,Élargir ou modifer le programme de vaccination,1
173,Beni,Ngongolio,21-08-2018,,the government should provide the vaccine and transport,Suggestion_request,Response_process_suggestions,Transportation issues,Que le gouvernement fournisse les efforts pour le vaccin et le moyen de transport,Suggestion_demande,Processus_de_riposte_suggestions,Problèmes de transport,1
174,Beni,Ngongolio,21-08-2018,1,is Ebola the start of wars or machetes to cut people?,Question,Other_questions,Other questions,Est-ce que ebola est le debut des guerre ou des machettes pour couper couper les gens?,Question,Autres_questions,Autres questions,1
175,Beni,Ngongolio,21-08-2018,,"how do you discover Ebola, and yet it appears like malaria?",Question,So_much_focus_on_Ebola,EVD vs other diseases,Comment decouvrir ebola et pourtant il vient comme la malaria?,Question,Tellement_d'attention_sur_Ebola,L'Ebola contre d'autres maladies,1
176,Beni,Ngongolio,21-08-2018,,isn't there a way to give the vaccine to everyone?,Question,Vaccine,Unfair vaccine distribution,Il n'ya pa moyen qu'on donne le vaccin à tout le monde?,Question,Vaccin,Distribution inéquitable du vaccin,1
177,Beni,Ngongolio,21-08-2018,,"when there is a case of diarrhea in a household, what should you do?",Question,Diagnosis_treatment_and_ETC,"Diagnosis, treatment, ETC",Quand il ya un cas de diarrhée dans un menage que faut-il faire?,Question,Diagnostique_traitement_et_CTE,"Diagnostique, traitement, CTE",1
178,Beni,Ngongolio,21-08-2018,1,can washing hands end Ebola?,Question,Ebola_protective_behaviors,EVD protective behaviors,Est-ce que se laver les mains peut terminer ebola?,Question,Comportements_pour_la_prévention_d'Ebola,Comportements pour la prévention d'Ebola,1
179,Beni,Ngongolio,21-08-2018,1,it's a Congolese government policy to make money,Rumors_beliefs_observations,Ebola_is_organized_business,Ebola is organized business (or someone making money),Politique du gouvernement congolais pour proffiter,Rumeur_croyance_observation,Ebola_est_business_organisé,Ebola est business organisé (ou quelqu'un gagne de l'argent),1
180,Beni,Ngongolio,21-08-2018,,In Mangina it was a cat who killed people,Rumors_beliefs_observations,Ebola_causes,Supernatural cause,C'était un chat qui a tué les gens à Mangina,Rumeur_croyance_observation,Origine_d_Ebola,Origine supernaturelle,1
181,Beni,Ngongolio,21-08-2018,,it's magic that needs to sacrifice 300 people,Rumors_beliefs_observations,Ebola_causes,Supernatural cause,Il s'agit d'une magie on a besoin de 300 personnes pour sacrifice,Rumeur_croyance_observation,Origine_d_Ebola,Origine supernaturelle,1
182,Beni,Ngongolio,21-08-2018,,increase the health promotion sessions with the Pygmy population,Suggestion_request,Community_health_promotion,Community health promotion,Multiplier les seances de sensibilisation avec le peuple pygmé,Suggestion_demande,Sensibilisation_sur_Ebola,Sensibilisation sur Ebola,1
183,Beni,Ngongolio,21-08-2018,,rapid medication and assistance to fight against Ebola,Suggestion_request,Improve_health_care,Provide medicines,Assistance en medicament rapide pour lutter contre ebola,Suggestion_demande,Améliorer_les_soins_de_santé,Donner des medicaments,1
